video_id,title,duration_sec,hashtags_count,views,likes,comments,shares,upload_hour,category
vid_1000,Short Video #0,43,9,198775,21933,3228,400,8,Tech
vid_1001,Short Video #1,56,2,290336,20063,3719,1942,16,Comedy
vid_1002,Short Video #2,33,6,264206,37032,3228,1817,7,Food
vid_1003,Short Video #3,19,9,85076,27269,2371,980,1,Lifestyle
vid_1004,Short Video #4,47,8,90780,8041,2891,1109,23,Tech
vid_1005,Short Video #5,12,3,153617,14488,3756,249,12,Travel
vid_1006,Short Video #6,25,0,22689,5669,4225,390,2,Tech
vid_1007,Short Video #7,43,1,274318,4400,94,1805,15,Tech
vid_1008,Short Video #8,23,0,351605,39137,2674,334,5,Comedy
vid_1009,Short Video #9,27,4,389318,36686,1955,628,18,Food
vid_1010,Short Video #10,15,4,366177,12115,793,1542,6,Travel
vid_1011,Short Video #11,15,6,10348,45102,1834,136,9,Education
vid_1012,Short Video #12,28,8,417930,6354,2116,882,8,Education
vid_1013,Short Video #13,57,8,39102,17244,4106,687,1,Tech
vid_1014,Short Video #14,40,2,75460,24314,3325,1863,14,Comedy
vid_1015,Short Video #15,44,2,365778,40218,2919,1521,4,Comedy
vid_1016,Short Video #16,28,2,90930,15283,2597,826,21,Education
vid_1017,Short Video #17,7,3,7801,6338,3205,726,3,Travel
vid_1018,Short Video #18,26,7,104150,6190,4807,1500,19,Food
vid_1019,Short Video #19,57,5,204339,11737,814,593,3,Travel
vid_1020,Short Video #20,6,7,180208,22515,345,1246,17,Lifestyle
vid_1021,Short Video #21,28,0,155697,24171,2349,989,3,Lifestyle
vid_1022,Short Video #22,48,7,214945,45515,362,371,16,Food
vid_1023,Short Video #23,34,3,232915,42779,2443,934,11,Education
vid_1024,Short Video #24,42,0,204664,41340,2265,994,21,Food
vid_1025,Short Video #25,6,7,209124,18371,2188,401,16,Comedy
vid_1026,Short Video #26,25,3,438477,36134,3005,1466,9,Lifestyle
vid_1027,Short Video #27,37,5,2542,33534,3281,1513,21,Tech
vid_1028,Short Video #28,16,7,284821,4288,984,614,0,Tech
vid_1029,Short Video #29,26,3,178804,49923,1639,1296,21,Education
vid_1030,Short Video #30,48,2,182415,10261,827,1549,23,Comedy
vid_1031,Short Video #31,29,8,40081,28832,2730,1182,17,Travel
vid_1032,Short Video #32,53,2,194928,11414,3531,1175,17,Comedy
vid_1033,Short Video #33,31,8,356249,24054,4451,994,13,Tech
vid_1034,Short Video #34,46,1,220930,21608,2935,619,14,Tech
vid_1035,Short Video #35,32,1,282209,22069,3876,187,11,Lifestyle
vid_1036,Short Video #36,20,1,215532,45759,126,1836,3,Comedy
vid_1037,Short Video #37,19,5,89092,37645,3177,1121,2,Comedy
vid_1038,Short Video #38,51,2,317837,36768,3056,130,19,Tech
vid_1039,Short Video #39,55,8,290106,23161,603,804,11,Travel
vid_1040,Short Video #40,48,3,29295,13816,3449,1194,6,Education
vid_1041,Short Video #41,59,0,14807,39849,4146,935,10,Education
vid_1042,Short Video #42,56,3,436564,39244,3533,985,0,Comedy
vid_1043,Short Video #43,7,0,158504,17007,3367,182,5,Education
vid_1044,Short Video #44,41,4,477501,18877,3368,982,14,Tech
vid_1045,Short Video #45,55,3,239067,27793,3797,363,14,Tech
vid_1046,Short Video #46,11,7,486008,43028,1792,38,18,Comedy
vid_1047,Short Video #47,25,7,452070,26429,2861,1550,10,Comedy
vid_1048,Short Video #48,13,6,434478,46992,3476,1911,22,Lifestyle
vid_1049,Short Video #49,43,2,169152,16382,3417,496,1,Comedy
vid_1050,Short Video #50,22,0,395540,23724,1645,1539,13,Travel
vid_1051,Short Video #51,8,0,354411,23421,1205,1372,1,Education
vid_1052,Short Video #52,29,2,167981,10588,3030,981,3,Comedy
vid_1053,Short Video #53,18,5,221411,22674,2872,920,16,Food
vid_1054,Short Video #54,54,6,20870,5340,3072,1420,2,Lifestyle
vid_1055,Short Video #55,13,5,428794,43321,1854,721,12,Food
vid_1056,Short Video #56,30,5,204196,10578,4021,1184,8,Tech
vid_1057,Short Video #57,57,5,249683,45262,4662,15,6,Education
vid_1058,Short Video #58,6,2,235677,19362,2708,492,14,Comedy
vid_1059,Short Video #59,24,5,27790,4532,3502,1449,22,Food
vid_1060,Short Video #60,32,7,119874,29821,1332,1131,10,Education
vid_1061,Short Video #61,51,1,288433,13668,201,893,19,Tech
vid_1062,Short Video #62,11,4,449345,14278,3507,1473,1,Travel
vid_1063,Short Video #63,48,0,225786,22295,4212,310,14,Lifestyle
vid_1064,Short Video #64,12,0,488462,402,574,738,13,Education
vid_1065,Short Video #65,51,4,16485,17122,536,1193,19,Education
vid_1066,Short Video #66,39,2,307626,155,1625,545,21,Travel
vid_1067,Short Video #67,18,3,87188,45881,2122,413,10,Education
vid_1068,Short Video #68,21,2,5748,8817,385,250,2,Tech
vid_1069,Short Video #69,40,0,218841,28799,3281,758,16,Tech
vid_1070,Short Video #70,54,0,141507,8250,474,1804,11,Travel
vid_1071,Short Video #71,44,4,266853,2225,417,1164,23,Lifestyle
vid_1072,Short Video #72,8,5,124961,44347,3600,1297,20,Comedy
vid_1073,Short Video #73,6,2,31355,48613,954,1439,14,Food
vid_1074,Short Video #74,10,8,187843,16848,4971,1631,15,Comedy
vid_1075,Short Video #75,58,4,452015,39677,4858,1762,4,Education
vid_1076,Short Video #76,46,7,407332,4721,1205,1914,19,Food
vid_1077,Short Video #77,8,0,157542,15134,4759,1062,5,Travel
vid_1078,Short Video #78,58,4,174416,46491,4120,813,18,Travel
vid_1079,Short Video #79,33,2,306062,5226,1990,28,4,Lifestyle
vid_1080,Short Video #80,22,0,315368,5222,4805,957,2,Food
vid_1081,Short Video #81,30,3,40298,18130,3572,476,0,Tech
vid_1082,Short Video #82,48,4,343363,17402,4380,317,5,Food
vid_1083,Short Video #83,38,6,62629,19281,4158,244,14,Education
vid_1084,Short Video #84,14,0,329184,38738,4757,747,1,Tech
vid_1085,Short Video #85,40,2,493734,1631,2713,696,2,Travel
vid_1086,Short Video #86,18,1,231907,41040,2203,271,16,Food
vid_1087,Short Video #87,35,8,291160,40541,3120,1463,23,Comedy
vid_1088,Short Video #88,52,9,24960,23433,966,1771,11,Lifestyle
vid_1089,Short Video #89,19,5,296735,39750,4944,1262,17,Comedy
vid_1090,Short Video #90,12,9,214920,34774,3432,376,14,Lifestyle
vid_1091,Short Video #91,18,2,366477,35954,688,265,11,Education
vid_1092,Short Video #92,27,7,243804,46371,4243,925,15,Comedy
vid_1093,Short Video #93,44,7,377965,8252,3701,920,7,Food
vid_1094,Short Video #94,25,1,461857,38618,341,1382,13,Food
vid_1095,Short Video #95,20,5,299539,45640,1724,339,16,Comedy
vid_1096,Short Video #96,49,6,130695,10367,4422,388,20,Food
vid_1097,Short Video #97,22,1,416916,25389,1792,576,7,Education
vid_1098,Short Video #98,51,9,297764,1162,1759,1712,14,Tech
vid_1099,Short Video #99,57,1,235286,30026,3212,2,13,Education
vid_1100,Short Video #100,28,9,129148,6329,989,1452,17,Lifestyle
vid_1101,Short Video #101,30,0,283703,49377,2262,1165,19,Education
vid_1102,Short Video #102,29,7,487261,48015,2482,375,6,Lifestyle
vid_1103,Short Video #103,49,0,356540,4732,951,1693,2,Food
vid_1104,Short Video #104,45,8,193714,39156,722,323,11,Tech
vid_1105,Short Video #105,33,5,208611,3696,3389,145,20,Food
vid_1106,Short Video #106,19,6,284876,44343,2079,1981,23,Travel
vid_1107,Short Video #107,49,9,260747,6268,2717,292,2,Food
vid_1108,Short Video #108,5,6,92362,42663,2332,1688,19,Lifestyle
vid_1109,Short Video #109,29,9,424570,7661,3376,431,13,Food
vid_1110,Short Video #110,11,2,276987,8358,4524,704,14,Food
vid_1111,Short Video #111,13,1,115065,16716,1500,948,13,Tech
vid_1112,Short Video #112,28,8,334870,26834,285,1998,6,Food
vid_1113,Short Video #113,5,7,18640,6471,3495,584,16,Tech
vid_1114,Short Video #114,48,9,53528,26169,2065,398,11,Comedy
vid_1115,Short Video #115,12,6,301557,14469,768,816,19,Travel
vid_1116,Short Video #116,28,8,260214,13010,3057,1912,3,Tech
vid_1117,Short Video #117,15,3,315782,8043,4289,1367,8,Lifestyle
vid_1118,Short Video #118,55,3,446952,12299,2161,963,5,Comedy
vid_1119,Short Video #119,21,0,111133,15828,3293,1163,15,Tech
vid_1120,Short Video #120,12,7,369501,23375,946,186,21,Tech
vid_1121,Short Video #121,39,2,200938,6838,4926,1828,21,Travel
vid_1122,Short Video #122,39,6,151159,16013,3335,60,20,Lifestyle
vid_1123,Short Video #123,37,1,173502,35340,4150,938,20,Education
vid_1124,Short Video #124,9,1,156576,19223,4895,1403,1,Education
vid_1125,Short Video #125,46,6,401330,48547,4873,709,23,Tech
vid_1126,Short Video #126,43,5,342003,34629,1481,806,7,Food
vid_1127,Short Video #127,45,2,362801,10267,1901,1463,10,Lifestyle
vid_1128,Short Video #128,32,8,405191,10654,3451,1342,12,Comedy
vid_1129,Short Video #129,11,9,12023,17360,4064,1325,16,Food
vid_1130,Short Video #130,13,5,22447,47145,54,1367,7,Food
vid_1131,Short Video #131,12,9,484685,3912,1823,10,20,Lifestyle
vid_1132,Short Video #132,16,9,389043,28124,3462,1085,17,Tech
vid_1133,Short Video #133,38,5,287103,27385,3079,1868,17,Tech
vid_1134,Short Video #134,37,0,67203,27000,832,225,13,Tech
vid_1135,Short Video #135,52,3,382300,1705,4408,1176,14,Tech
vid_1136,Short Video #136,59,9,161775,5722,2806,1734,5,Education
vid_1137,Short Video #137,27,5,10337,6867,2490,563,10,Tech
vid_1138,Short Video #138,28,5,47427,27239,327,771,12,Education
vid_1139,Short Video #139,41,4,324673,11713,3310,1594,0,Education
vid_1140,Short Video #140,39,0,365167,10689,3300,1607,5,Tech
vid_1141,Short Video #141,48,7,347809,14018,3675,1683,8,Travel
vid_1142,Short Video #142,44,4,106787,20219,3054,1884,7,Comedy
vid_1143,Short Video #143,26,4,163993,27546,2143,1598,10,Food
vid_1144,Short Video #144,31,6,296451,13146,1311,1333,21,Education
vid_1145,Short Video #145,39,3,421571,24918,3191,884,18,Lifestyle
vid_1146,Short Video #146,5,5,497484,35458,2538,1266,23,Lifestyle
vid_1147,Short Video #147,39,3,128016,4424,3983,1516,8,Comedy
vid_1148,Short Video #148,41,2,267979,10887,4547,1389,16,Lifestyle
vid_1149,Short Video #149,51,6,21159,9211,164,1353,11,Travel
vid_1150,Short Video #150,18,7,498562,38210,4277,1130,13,Lifestyle
vid_1151,Short Video #151,7,3,179677,16489,822,225,14,Food
vid_1152,Short Video #152,5,1,384934,41527,943,824,15,Food
vid_1153,Short Video #153,9,9,368760,14143,4425,217,21,Education
vid_1154,Short Video #154,30,2,432304,28846,774,936,21,Tech
vid_1155,Short Video #155,59,0,341896,22450,2198,752,19,Travel
vid_1156,Short Video #156,18,7,318428,41705,3156,505,0,Education
vid_1157,Short Video #157,43,2,320187,217,4242,258,9,Travel
vid_1158,Short Video #158,31,9,167619,46785,3695,1911,7,Tech
vid_1159,Short Video #159,13,6,360151,19035,3452,1797,17,Lifestyle
vid_1160,Short Video #160,19,9,83844,47177,914,1540,0,Lifestyle
vid_1161,Short Video #161,19,4,28532,13334,1308,1796,1,Tech
vid_1162,Short Video #162,30,9,166421,38428,4177,53,0,Education
vid_1163,Short Video #163,46,4,123402,946,513,1070,0,Tech
vid_1164,Short Video #164,17,6,119012,11054,1920,726,8,Comedy
vid_1165,Short Video #165,55,8,439661,13803,3594,688,12,Food
vid_1166,Short Video #166,36,4,399929,48253,4841,1544,0,Education
vid_1167,Short Video #167,43,0,57178,46614,1409,1122,12,Travel
vid_1168,Short Video #168,53,9,50407,22800,4802,1043,19,Comedy
vid_1169,Short Video #169,56,9,464556,32143,4566,1913,21,Education
vid_1170,Short Video #170,36,0,51990,6569,3190,1776,6,Tech
vid_1171,Short Video #171,8,1,469888,30205,4491,1596,1,Tech
vid_1172,Short Video #172,34,5,130473,42201,1555,1914,5,Tech
vid_1173,Short Video #173,41,8,459761,26486,804,1513,6,Tech
vid_1174,Short Video #174,27,7,479007,49476,1279,418,13,Travel
vid_1175,Short Video #175,43,4,321285,45687,3577,689,17,Comedy
vid_1176,Short Video #176,49,0,418009,37076,2901,849,14,Lifestyle
vid_1177,Short Video #177,19,6,319714,39151,1387,61,1,Food
vid_1178,Short Video #178,47,4,227156,2148,4688,1168,9,Travel
vid_1179,Short Video #179,33,5,169964,39101,2761,215,22,Travel
vid_1180,Short Video #180,40,6,2015,13041,2679,2,11,Lifestyle
vid_1181,Short Video #181,17,2,62813,45475,2106,159,16,Lifestyle
vid_1182,Short Video #182,36,9,28712,42633,4223,1762,7,Food
vid_1183,Short Video #183,11,2,101497,1928,4831,780,10,Food
vid_1184,Short Video #184,55,4,402631,2017,2768,1143,2,Lifestyle
vid_1185,Short Video #185,26,5,243926,20718,3953,892,5,Tech
vid_1186,Short Video #186,32,8,113816,32354,3186,1112,8,Travel
vid_1187,Short Video #187,6,4,129778,39856,3280,328,5,Education
vid_1188,Short Video #188,46,0,63292,47462,2573,579,8,Food
vid_1189,Short Video #189,49,3,286977,20228,4616,1933,6,Food
vid_1190,Short Video #190,57,4,136230,45845,2599,1380,8,Lifestyle
vid_1191,Short Video #191,10,9,194752,109,4033,1633,17,Comedy
vid_1192,Short Video #192,32,9,283453,16744,236,1290,11,Education
vid_1193,Short Video #193,32,4,270114,22522,1304,1640,7,Education
vid_1194,Short Video #194,48,6,335618,9965,3430,951,7,Food
vid_1195,Short Video #195,48,3,480920,2319,1301,1346,17,Tech
vid_1196,Short Video #196,24,0,309684,39909,2541,634,19,Comedy
vid_1197,Short Video #197,34,4,152456,5387,2051,987,14,Education
vid_1198,Short Video #198,15,6,281161,34487,441,1564,6,Food
vid_1199,Short Video #199,59,9,339024,8612,2076,1672,10,Education
vid_1200,Short Video #200,32,9,106570,1442,3180,1218,19,Comedy
vid_1201,Short Video #201,29,5,271846,43436,2657,920,15,Comedy
vid_1202,Short Video #202,43,4,394600,19316,3798,737,3,Travel
vid_1203,Short Video #203,37,3,1404,27634,804,1355,5,Lifestyle
vid_1204,Short Video #204,5,1,435159,14331,74,169,21,Lifestyle
vid_1205,Short Video #205,31,3,179998,32393,2175,520,2,Food
vid_1206,Short Video #206,56,9,423405,26714,3924,1486,8,Comedy
vid_1207,Short Video #207,17,9,275907,36358,2089,39,9,Travel
vid_1208,Short Video #208,45,2,150456,28353,40,1560,13,Travel
vid_1209,Short Video #209,7,9,192172,42178,2081,1284,10,Education
vid_1210,Short Video #210,43,0,361286,40852,4683,1418,17,Education
vid_1211,Short Video #211,10,7,141932,18088,1622,954,21,Travel
vid_1212,Short Video #212,12,4,236365,31137,341,1249,11,Education
vid_1213,Short Video #213,31,3,343786,12319,4052,983,22,Comedy
vid_1214,Short Video #214,13,7,51612,335,2074,1147,11,Tech
vid_1215,Short Video #215,41,6,286718,43029,645,974,12,Comedy
vid_1216,Short Video #216,37,1,286668,2008,4826,37,12,Travel
vid_1217,Short Video #217,55,0,201244,8667,4263,327,18,Travel
vid_1218,Short Video #218,46,3,274060,36398,609,1274,18,Comedy
vid_1219,Short Video #219,48,7,5809,5356,454,1924,22,Education
vid_1220,Short Video #220,28,1,164273,19119,2953,1199,13,Education
vid_1221,Short Video #221,19,2,185402,8262,1708,1625,3,Lifestyle
vid_1222,Short Video #222,58,0,145528,5515,3472,913,12,Travel
vid_1223,Short Video #223,36,0,450613,36259,2969,453,7,Food
vid_1224,Short Video #224,36,2,384432,44025,3028,36,22,Lifestyle
vid_1225,Short Video #225,28,4,39765,6051,4797,1339,20,Education
vid_1226,Short Video #226,45,2,429032,21952,2681,1711,22,Comedy
vid_1227,Short Video #227,56,0,308250,8107,3629,972,18,Education
vid_1228,Short Video #228,53,0,317076,41932,4225,795,11,Comedy
vid_1229,Short Video #229,53,7,411316,30623,3067,1988,17,Lifestyle
vid_1230,Short Video #230,56,9,320235,23425,1386,972,5,Travel
vid_1231,Short Video #231,16,1,22949,21304,3776,592,17,Education
vid_1232,Short Video #232,43,2,202152,15624,2866,1137,18,Comedy
vid_1233,Short Video #233,6,1,300888,19382,4788,1063,21,Travel
vid_1234,Short Video #234,7,2,177615,24030,3363,1324,4,Food
vid_1235,Short Video #235,53,6,371463,177,4889,223,23,Comedy
vid_1236,Short Video #236,41,0,93193,40445,4124,317,8,Lifestyle
vid_1237,Short Video #237,53,9,37187,20711,148,348,2,Food
vid_1238,Short Video #238,21,7,139311,17084,3850,114,9,Food
vid_1239,Short Video #239,53,9,387598,14160,2058,697,18,Tech
vid_1240,Short Video #240,6,9,277633,17549,1136,1346,2,Education
vid_1241,Short Video #241,6,9,190089,18620,186,1591,21,Comedy
vid_1242,Short Video #242,32,1,62877,43403,2854,1063,14,Food
vid_1243,Short Video #243,58,2,437341,9610,1250,1889,0,Tech
vid_1244,Short Video #244,27,8,313066,29387,1333,39,6,Lifestyle
vid_1245,Short Video #245,41,6,95074,28273,4193,1882,11,Travel
vid_1246,Short Video #246,36,3,164121,39811,4150,1996,16,Comedy
vid_1247,Short Video #247,37,9,38131,12054,2711,1772,20,Food
vid_1248,Short Video #248,5,4,437160,7904,4853,1312,23,Education
vid_1249,Short Video #249,23,1,116765,6665,4501,1285,19,Tech
vid_1250,Short Video #250,6,7,337107,6084,1785,215,4,Food
vid_1251,Short Video #251,57,3,107884,21626,750,1170,3,Education
vid_1252,Short Video #252,48,8,126917,37538,1762,335,11,Food
vid_1253,Short Video #253,30,4,287429,18674,3920,1191,19,Comedy
vid_1254,Short Video #254,36,8,300770,9284,4460,91,23,Comedy
vid_1255,Short Video #255,10,3,174880,19196,481,352,17,Comedy
vid_1256,Short Video #256,36,9,482680,2292,153,570,16,Lifestyle
vid_1257,Short Video #257,59,4,448087,34116,1524,1594,18,Lifestyle
vid_1258,Short Video #258,8,8,282342,11346,2120,815,8,Tech
vid_1259,Short Video #259,59,7,413974,45658,2343,1704,3,Comedy
vid_1260,Short Video #260,15,2,16254,18481,1240,780,20,Education
vid_1261,Short Video #261,21,0,45238,36555,60,362,1,Food
vid_1262,Short Video #262,42,2,2252,26827,938,556,3,Travel
vid_1263,Short Video #263,28,3,302908,4118,1639,1368,1,Education
vid_1264,Short Video #264,9,1,340853,11402,4120,1716,14,Lifestyle
vid_1265,Short Video #265,56,0,431657,2070,4226,1193,1,Lifestyle
vid_1266,Short Video #266,38,6,486450,41257,3569,355,3,Education
vid_1267,Short Video #267,10,7,316826,27302,1252,190,5,Lifestyle
vid_1268,Short Video #268,26,6,322638,31210,4203,1690,6,Comedy
vid_1269,Short Video #269,15,4,82317,17686,171,421,9,Tech
vid_1270,Short Video #270,52,0,328359,24619,1458,699,18,Food
vid_1271,Short Video #271,20,6,79587,31373,3549,6,18,Tech
vid_1272,Short Video #272,37,6,499401,22051,4197,132,21,Food
vid_1273,Short Video #273,13,8,7949,15474,2322,1770,11,Food
vid_1274,Short Video #274,10,2,239897,5888,1636,556,2,Tech
vid_1275,Short Video #275,20,8,318537,5508,3115,825,12,Education
vid_1276,Short Video #276,33,0,205625,25153,4090,760,17,Food
vid_1277,Short Video #277,7,0,139013,9546,3004,1054,7,Tech
vid_1278,Short Video #278,24,3,26934,1022,329,534,20,Food
vid_1279,Short Video #279,40,8,417602,33287,3640,425,14,Travel
vid_1280,Short Video #280,23,5,257434,10889,3894,1417,0,Education
vid_1281,Short Video #281,30,2,456102,32284,4107,671,2,Comedy
vid_1282,Short Video #282,7,0,338889,1220,1341,362,7,Food
vid_1283,Short Video #283,23,3,477467,44128,3663,1460,3,Travel
vid_1284,Short Video #284,24,8,357600,32254,215,1693,15,Comedy
vid_1285,Short Video #285,36,2,316557,17434,338,1574,22,Comedy
vid_1286,Short Video #286,11,8,451016,2436,4062,1950,9,Food
vid_1287,Short Video #287,56,6,360383,38241,2708,81,11,Tech
vid_1288,Short Video #288,45,3,305462,2343,3152,355,13,Food
vid_1289,Short Video #289,37,2,251875,19129,1750,1281,13,Travel
vid_1290,Short Video #290,44,9,464389,32365,2421,1741,1,Comedy
vid_1291,Short Video #291,43,4,71390,37480,709,588,22,Food
vid_1292,Short Video #292,22,4,184401,46814,3726,1547,4,Tech
vid_1293,Short Video #293,44,2,254490,43972,3642,294,4,Food
vid_1294,Short Video #294,5,8,44088,46297,3993,1985,5,Education
vid_1295,Short Video #295,15,3,248940,23810,488,1247,12,Tech
vid_1296,Short Video #296,32,4,366340,29586,46,1548,8,Travel
vid_1297,Short Video #297,29,3,434027,6471,3359,1069,21,Comedy
vid_1298,Short Video #298,54,4,318623,6459,4873,1690,14,Food
vid_1299,Short Video #299,27,6,217464,40731,4806,1136,13,Tech
